,no of infected individuals,infection_rate
0,0,0.0
1,1,14.27519288888162
2,2,26.319152825649617
3,3,36.42187208540506
4,4,44.899097733040456
5,5,52.04381779965449
6,6,58.09387716291009
7,7,63.14541508025558
8,8,67.42082189058462
9,9,70.99889566657582
10,10,74.00609403215148
11,11,76.54084508845924
