,no of infected individuals,infection_rate
0,0,0.0
1,1,2.540113063268542
2,2,4.848081351014049
3,3,7.530389734053227
4,4,8.629879828784476
5,5,10.217211188205546
6,6,11.674519274363272
7,7,13.063837228569513
8,8,15.334375771751176
9,9,16.60125892342292
10,10,17.738944237363597
11,11,18.792653993739247
