,hours,infection_rate
0,0,0.0
1,1,3.1005925686672287
2,2,6.097508094707169
3,3,8.99178535389993
4,4,11.773159867059801
5,5,14.470922747505103
6,6,17.067880210619894
7,7,19.577847552790526
8,8,22.011424362468162
9,9,24.344916285584357
10,10,26.609684734402865
11,11,28.798163039379954
