,hours,infection_rate
0,0,0.0
1,1,0.3564802555333787
2,2,0.7467776284938671
3,3,1.1137425308402675
4,4,1.3099481006061138
5,5,1.7670697913448552
6,6,2.173825411679649
7,7,2.540606506764013
8,8,2.7635381658091736
9,9,2.933832705177195
10,10,3.5573832691874308
11,11,3.770931957987932
